"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"rep1.white"	"rep2.white"	"rep1.red"	"rep2.red"
"1"	"ENSG00000117395"	1198.79848876452	4.24097786018482	0.10809176741864	39.2349756273249	0	0	"EBNA1BP2"	113.335251835195	127.309125489478	2232.45598633783	2322.09359139556
"2"	"ENSG00000134250"	1423.03068757709	-3.69999727375175	0.0952396525335567	-38.8493361254977	0	0	"NOTCH2"	2676.87071001223	2608.97687574046	192.252211767089	214.022952788607
"3"	"ENSG00000137936"	2376.45641005218	-6.3542748762756	0.151863353947598	-41.8420554472162	0	0	"BCAR3"	4566.69106005782	4823.98361989861	65.2492355088301	49.9017247434577
"4"	"ENSG00000162670"	2022.26297593128	2.87200285204508	0.0656952186088046	43.7170758064906	0	0	"BRINP3"	506.410688755673	466.226662265522	3570.06531426885	3546.34923843506
"5"	"ENSG00000198793"	1343.22276983143	4.68979163180316	0.112897509837936	41.5402575179501	0	0	"MTOR"	89.9486125676151	110.105189612522	2566.85831832059	2605.97895882501
"6"	"ENSG00000224184"	11436.2715922297	1.32286727362015	0.0296530822636234	44.6114593369933	0	0	"MIR3681HG"	6450.21500722368	6612.33275430824	16593.1136228795	16089.4249845073
"7"	"ENSG00000228918"	1488.66019249627	-4.85583246515869	0.122609090584924	-39.6041797716079	0	0	"LINC01344"	2874.75765766098	2881.65925939022	86.2222040652398	112.001648868649
"8"	"ENSG00000144406"	2168.60449744666	-4.45869941190699	0.0948021338355781	-47.0316355920851	0	0	"UNC80"	4283.35293046983	4013.67824009396	191.087046847288	186.299772375575
"9"	"ENSG00000144619"	3438.59993103242	2.77243556148239	0.056881647248445	48.7404232400845	0	0	"CNTN4"	899.486125676151	856.756006672435	6217.32001205567	5780.83757972544
"10"	"ENSG00000157445"	1766.01488719329	2.80831841930695	0.0700558947568646	40.0868253707054	0	0	"CACNA2D3"	422.758479067791	459.345087914739	3049.23659511801	3132.71938667262
"11"	"ENSG00000226320"	1833.59428227941	-3.30474096968379	0.0804563998561164	-41.074929720865	0	0	"LINC01811"	3234.55210793144	3425.30363310204	350.714640859962	323.806747224214
"12"	"ENSG00000231672"	1231.70741592071	3.42920966869302	0.0897656654560054	38.2017963246058	0	0	"DIRC3"	203.28386440281	215.049198461956	2266.24576901205	2242.25083180603
"13"	"ENSG00000152377"	1219.67967945273	3.45005356867711	0.0903338864655111	38.192241069959	0	0	"SPOCK1"	208.680781156867	200.425852966543	2241.77730569624	2227.83477799126
"14"	"ENSG00000163116"	2889.04944051971	-3.64874440847003	0.0671750508060307	-54.3169579284109	0	0	"STPG2"	5430.19774070693	5273.00634628717	418.294206208393	434.699468876342
"15"	"ENSG00000168824"	2532.22555316194	4.0479334713181	0.0778639728252115	51.98724550576	0	0	"NSG1"	273.44378220555	303.649468228283	4584.92395941512	4966.88500279882
"16"	"ENSG00000170624"	3092.17820456813	2.84295887176827	0.0537361170797223	52.9059229856614	0	0	"SGCD"	780.753957086899	732.887668358348	5394.71357867649	5460.35761415079
"17"	"ENSG00000250821"	3840.26087094588	-3.51238149515206	0.057446518414987	-61.141764410839	0	0	"EXOC1L"	6972.81644624152	7149.95575046313	635.014881291293	603.256405787577
"18"	"ENSG00000113645"	2894.90191272034	7.95081868162307	0.202446943383711	39.273592126078	0	0	"WWC1"	26.9845837702845	19.7845262585	5789.70448648887	5743.13405436372
"19"	"ENSG00000124568"	3308.4313939487	-5.15987576881111	0.09167290008436	-56.285726360384	0	0	"SLC17A1"	6293.70442135603	6580.50547293587	165.453418611676	194.062262891224
"20"	"ENSG00000179869"	1353.10905000147	3.41991808868744	0.0854856243335048	40.0057684008404	0	0	"ABCA13"	227.569989796066	234.833724720456	2453.83732109993	2496.19516438941
"21"	"ENSG00000184903"	1424.99548856955	-3.59221264018487	0.0921013974202738	-39.0028027891152	0	0	"IMMP2L"	2634.59486210545	2628.76140199896	223.711664601703	212.914025572086
"22"	"ENSG00000136895"	2798.08228217679	6.52189904714617	0.132295232087442	49.2980657295001	0	0	"GARNL3"	57.5671120432737	62.7943659508913	5706.97777718303	5364.98987352996
"23"	"ENSG00000147650"	2553.42343053709	4.0377121777764	0.0743718003331387	54.2909027304704	0	0	"LRP12"	268.946351577169	316.552420136	4720.08309011198	4908.11186032319
